	Sample_Type	Batch
GTEX.11DXY.0526.SM.5EGGQ	Normal	GTEX
GTEX.11DXZ.0126.SM.5EGGY	Normal	GTEX
GTEX.11EQ9.0526.SM.5A5JZ	Normal	GTEX
GTEX.11GSP.0626.SM.5986T	Normal	GTEX
GTEX.11NUK.1226.SM.5P9GM	Normal	GTEX
GTEX.11NV4.1326.SM.5HL6V	Normal	GTEX
GTEX.11OF3.0726.SM.5BC4Z	Normal	GTEX
GTEX.11TT1.1726.SM.5EQLJ	Normal	GTEX
GTEX.11TUW.1726.SM.5BC5C	Normal	GTEX
GTEX.11WQC.0726.SM.5EQMR	Normal	GTEX
GTEX.11ZTS.1426.SM.5EQMM	Normal	GTEX
GTEX.11ZUS.2526.SM.59872	Normal	GTEX
GTEX.11ZVC.0726.SM.5FQT9	Normal	GTEX
GTEX.1212Z.0226.SM.59HLF	Normal	GTEX
GTEX.12696.0826.SM.5EGGE	Normal	GTEX
GTEX.1269C.0626.SM.5FQSS	Normal	GTEX
GTEX.12KS4.1326.SM.5LUB3	Normal	GTEX
GTEX.12WSD.1426.SM.5GCN9	Normal	GTEX
GTEX.12WSG.0626.SM.5FQTQ	Normal	GTEX
GTEX.12WSI.0226.SM.5GCNA	Normal	GTEX
8ea1609f-545d-4f2c-8a8d-4e079b5f308d	Primary_Tumor	TCGA
bf2be4e1-b1ad-446f-96df-35cd0982fa84	Primary_Tumor	TCGA
5e6b22be-46c6-4dee-9703-9b3375528dbf	Primary_Tumor	TCGA
0721d127-f1f0-4d77-925a-c39b4f728546	Primary_Tumor	TCGA
fcc0f4fb-6bce-414b-9be2-e2b26a5ebdd8	Recurrent_Tumor	TCGA
fcc8b301-55bb-4dd4-9f48-695c6c4d3ea2	Recurrent_Tumor	TCGA
3a898016-4947-4863-99d1-3d203d2432d1	Recurrent_Tumor	TCGA
1c161565-bcbe-4258-8167-940bad0d4b79	Normal	TCGA
9127e11a-14e9-42cb-8202-89ec0ec630d3	Normal	TCGA
4053c358-8546-433d-81bb-9a8961692de7	Normal	TCGA
18bb9ec6-31ca-4b55-9e29-3f4f952d69a4	Normal	TCGA
9b8bb78f-51aa-46a8-96c2-fb6a11891158	Normal	TCGA
