Sample	Filename	Data_Category	Data_Type	Project_ID	Case_ID	Sample_ID	Sample_Type
8ea1609f-545d-4f2c-8a8d-4e079b5f308d	b7abd283-60c7-415c-97da-61473d81e4ad.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-DD-AAD0	TCGA-DD-AAD0-01A	Primary_Tumor
bf2be4e1-b1ad-446f-96df-35cd0982fa84	c7fd15b5-1f15-4fe9-b3ce-77bf232bd110.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-DD-A114	TCGA-DD-A114-01A	Primary_Tumor
5e6b22be-46c6-4dee-9703-9b3375528dbf	d11a42d8-6486-4288-bf5c-864448bb1fd6.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-CC-A9FV	TCGA-CC-A9FV-01A	Primary_Tumor
0721d127-f1f0-4d77-925a-c39b4f728546	28ef84e7-f566-40a7-b239-26d3e23c878a.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-DD-A1EC	TCGA-DD-A1EC-01A	Primary_Tumor
fcc0f4fb-6bce-414b-9be2-e2b26a5ebdd8	5177e120-9605-45c8-87a2-d519c53215bd.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-ZS-A9CF	TCGA-ZS-A9CF-02A	Recurrent_Tumor
fcc8b301-55bb-4dd4-9f48-695c6c4d3ea2	0da5d80e-3b8e-4650-aa53-e266ddb3baef.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-DD-AACA	TCGA-DD-AACA-02B	Recurrent_Tumor
3a898016-4947-4863-99d1-3d203d2432d1	b58424e4-66bd-4e53-bd37-ca2df9bf3601.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-DD-AACA	TCGA-DD-AACA-02A	Recurrent_Tumor
1c161565-bcbe-4258-8167-940bad0d4b79	491e50ed-21d3-4dc6-ae6c-e56f94e22ca4.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-DD-A1EE	TCGA-DD-A1EE-11A	Solid_Tissue_Normal
9127e11a-14e9-42cb-8202-89ec0ec630d3	481e95c0-3a19-48fe-a119-3245ffe4f83f.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-DD-A39V	TCGA-DD-A39V-11A	Solid_Tissue_Normal
4053c358-8546-433d-81bb-9a8961692de7	ba17648f-b788-458a-a78c-2bb20970d94b.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-DD-A118	TCGA-DD-A118-11A	Solid_Tissue_Normal
18bb9ec6-31ca-4b55-9e29-3f4f952d69a4	53735683-e9b2-4745-809d-5cba358f5b41.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-DD-A119	TCGA-DD-A119-11A	Solid_Tissue_Normal
9b8bb78f-51aa-46a8-96c2-fb6a11891158	15a44c9d-7c84-4170-96a1-358dd796aa65.htseq.counts.gz	Transcriptome_Profiling	Gene_Expression_Quantification	TCGA-LIHC	TCGA-BD-A2L6	TCGA-BD-A2L6-11A	Solid_Tissue_Normal
