"GTEX.11DXY.0526.SM.5EGGQ" "GTEX.11DXZ.0126.SM.5EGGY" "GTEX.11EQ9.0526.SM.5A5JZ" "GTEX.11GSP.0626.SM.5986T" "GTEX.11NUK.1226.SM.5P9GM" "GTEX.11NV4.1326.SM.5HL6V" "GTEX.11OF3.0726.SM.5BC4Z" "GTEX.11TT1.1726.SM.5EQLJ" "GTEX.11TUW.1726.SM.5BC5C" "GTEX.11WQC.0726.SM.5EQMR" "GTEX.11ZTS.1426.SM.5EQMM" "GTEX.11ZUS.2526.SM.59872" "GTEX.11ZVC.0726.SM.5FQT9" "GTEX.1212Z.0226.SM.59HLF" "GTEX.12696.0826.SM.5EGGE" "GTEX.1269C.0626.SM.5FQSS" "GTEX.12KS4.1326.SM.5LUB3" "GTEX.12WSD.1426.SM.5GCN9" "GTEX.12WSG.0626.SM.5FQTQ" "GTEX.12WSI.0226.SM.5GCNA"
"ENSG00000223972" 5 5 0 4 8 4 11 1 13 3 7 9 5 4 0 3 2 6 1 13
"ENSG00000227232" 339 218 179 434 414 569 298 161 257 309 455 315 491 188 251 357 253 506 344 213
"ENSG00000243485" 0 4 1 1 7 0 1 0 3 2 3 2 5 1 0 2 0 4 2 4
"ENSG00000237613" 3 0 3 3 1 3 3 0 2 1 1 0 1 2 2 2 0 4 2 5
"ENSG00000268020" 0 2 1 0 2 3 0 0 1 0 1 3 1 0 3 1 0 1 1 1
"ENSG00000240361" 4 4 0 4 2 0 1 0 1 2 5 2 1 4 2 1 1 3 1 8
"ENSG00000186092" 0 2 1 3 5 2 3 2 2 1 0 4 2 2 2 4 3 11 1 19
"ENSG00000238009" 6 14 2 4 6 7 12 8 2 5 6 1 2 3 3 4 3 8 2 5
"ENSG00000233750" 25 19 11 12 30 30 22 9 26 14 30 29 25 10 18 16 11 34 12 32
"ENSG00000268903" 0 0 2 1 1 2 4 1 5 1 2 3 0 3 1 3 1 0 2 1
"ENSG00000239906" 0 0 1 5 3 10 7 4 1 1 1 0 20 2 4 3 0 4 2 9
"ENSG00000241860" 30 12 21 20 30 35 35 24 29 34 26 21 52 25 26 35 14 33 16 49
"ENSG00000222623" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241599" 1 1 0 3 1 1 1 0 2 0 0 1 2 0 2 0 0 0 0 1
"ENSG00000228463" 76 22 16 33 82 78 47 49 22 73 35 37 31 44 14 72 55 21 14 50
"ENSG00000237094" 12 12 10 29 31 18 26 140 44 9 36 25 26 10 27 14 13 21 26 7
"ENSG00000250575" 0 1 1 1 2 2 6 3 4 0 2 2 1 1 1 4 2 4 5 3
"ENSG00000233653" 7 11 3 8 17 4 7 2 6 5 7 10 11 12 6 7 4 15 5 12
"ENSG00000224813" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000269732" 2 0 0 1 7 1 1 0 2 0 0 1 4 1 1 0 0 0 0 3
"ENSG00000236601" 1 1 1 0 2 0 4 0 1 1 0 2 0 1 1 1 2 1 1 4
"ENSG00000236743" 6 1 0 2 8 5 4 0 3 2 3 1 2 1 3 1 1 1 0 3
"ENSG00000236679" 6 3 6 4 6 3 4 2 3 5 6 4 3 2 4 1 1 2 2 5
"ENSG00000231709" 2 0 2 1 2 1 5 1 1 0 1 5 1 4 5 2 1 1 1 6
"ENSG00000235146" 6 4 1 2 1 2 0 1 1 1 0 2 4 2 2 0 0 1 0 2
"ENSG00000239664" 0 1 1 3 1 4 0 0 1 0 1 1 0 1 0 3 1 4 0 4
"ENSG00000230021" 6 7 4 12 2 14 2 1 5 2 4 15 4 6 2 3 3 8 2 5
"ENSG00000223659" 0 1 0 3 5 0 3 0 0 0 0 1 0 0 1 2 1 4 2 4
"ENSG00000225972" 188 37410 109 462 231 219 172 57 182 112 321 566 185 181 214 266 90 229 129 236
"ENSG00000225630" 35659 16536 15597 33596 51233 43841 25124 7870 34618 21889 47545 36312 29626 15776 32279 69257 26174 27580 18802 34502
"ENSG00000237973" 5482 237572 3973 6475 7301 6961 5876 980 3345 23482 44206 13076 7676 2547 3545 4367 1387 3872 693 5972
"ENSG00000229344" 860 656 469 936 756 781 686 151 682 19655 939 3343 747 568 890 643 318 760 367 705
"ENSG00000240409" 248 348 109 648 152 340 328 47 275 204 386 614 405 289 294 265 75 245 89 204
"ENSG00000248527" 115823 126796 65625 195807 184826 191559 78435 35870 132793 142407 293531 220925 170471 102972 104934 96049 76889 141635 56628 125361
"ENSG00000198744" 711 486 407 885 687 568 807 152 640 339 807 4902 592 640 3008 331 357 2989 237 4958
"ENSG00000268663" 6 0 2 3 4 1 0 0 0 3 0 1 1 2 4 2 0 1 0 0
"ENSG00000229376" 29 12 20 10 38 20 19 36 14 22 13 23 18 16 20 12 14 9 8 22
"ENSG00000224956" 178 106 97 198 477 150 241 251 770 156 227 245 183 131 134 162 113 91 195 112
"ENSG00000235373" 15 17 14 28 25 13 22 8 15 9 16 16 18 21 13 16 2 12 9 21
"ENSG00000223181" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ENSG00000240618" 2 0 2 2 2 0 2 0 0 0 0 2 3 1 1 1 3 1 2 3
"ENSG00000229905" 2 2 0 3 0 0 2 0 1 0 6 7 0 2 1 2 0 0 3 2
"ENSG00000228327" 23 32 63 27 61 41 34 25 15 23 74 26 57 27 26 19 11 58 17 34
"ENSG00000237491" 124 52 52 37 108 120 109 47 59 92 75 272 93 56 146 46 33 41 41 61
"ENSG00000230092" 8 6 13 7 13 13 15 5 4 4 1 12 5 5 6 5 10 8 6 5
