sampleName	fileName	condition
3LT4_dnmt3l	hisat.j3LT4_15_repeat.36111.bam.counts	dnmt3l
3LT5_dnmt3l	hisat.j3LT5_15_repeat.36111.bam.counts	dnmt3l
3LT6_dnmt3l	hisat.j3LT6_15_repeat.36111.bam.counts	dnmt3l
MT4_mili	hisat.jMT4_15_repeat.36111.bam.counts	mili
MT5_mili	hisat.jMT5_15_repeat.36111.bam.counts	mili
MT6_mili	hisat.jMT6_15_repeat.36111.bam.counts	mili
T1_control	hisat.jT1_15_repeat.36111.bam.counts	control
T2_control	hisat.jT2_15_repeat.36111.bam.counts	control
T3_control	hisat.jT3_15_repeat.36111.bam.counts	control
T4_miwi2	hisat.jT4_15_repeat.36111.bam.counts	miwi2
T5_miwi2	hisat.jT5_15_repeat.36111.bam.counts	miwi2
T6_miwi2	hisat.jT6_15_repeat.36111.bam.counts	miwi2
